书名,作者,翻译者,出版社,出版时间,价格,评分,评价人数,豆瓣点评
冰与火之歌,[美]乔治·R.R.马丁 , 谭光磊 , 重庆出版社 , 2013-10-1 , 330.00元,9.5,7450,乔治·R·R·马丁史诗奇幻小说
傲慢与偏见,[英] 奥斯丁 , 张玲 , 人民文学出版社 , 1993-7 , 13.00元,8.8,178193,所有现代言情小说的母体
城南旧事,林海音 文 ,无翻译者, 中国青年出版社 , 2003-7 , 16.00元,9.0,91062,长亭外，古道边，芳草碧连天
新名字的故事,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2017-4 , 59.00元,9.0,39962,探索青年时代的激情、困惑、挣扎、背叛和失去
乡土中国,费孝通 ,无翻译者, 上海人民出版社 , 2006-4 , 38.00,9.2,31515,中国乡土社会传统文化和社会结构理论研究代表作
格林童话全集,[德国]格林兄弟 , 魏以新 , 人民文学出版社 , 1994-11 , 21.45元,9.0,64968,一本有教育意义的书
黄金时代,王小波 ,无翻译者, 花城出版社 , 1999-3 , 19.00元,8.8,118371,我想爱，想吃，还想在一瞬间变成天上半明半暗的云
失踪的孩子,[意] 埃莱娜·费兰特 , 陈英 , 人民文学出版社 , 2018-6-1 , 62,9.1,30285,我的整个生命，只是一场为了提升社会地位的低俗斗争。
我与地坛,史铁生 ,无翻译者, 春风文艺出版社 , 2002-5 , 25.00元,9.1,53718,这是你的罪孽与福祉
历史深处的忧虑,林达 ,无翻译者, 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,35280,窥见美国社会的一扇窗
无人生还,[英] 阿加莎・克里斯蒂 , 祁阿红 , 人民文学出版社 , 2008-3 , 19.00,8.9,92370,童谣杀人案
文学回忆录（全2册）,木心 口述 ,无翻译者, 广西师范大学出版社 , 2013-1-10 , 98.00元,9.2,32026,木心留给世界的礼物
神雕侠侣,金庸 , 有1996年11月北平第4次印本 , 生活·读书·新知三联书店 , 1994-5 , 76.80元,8.9,76866,至情至性，情大于武
上帝掷骰子吗,曹天元 ,无翻译者, 辽宁教育出版社 , 2006-1 , 32.00元,9.2,20514,量子物理史话
史记（全十册）,司马迁 , （索引）司马贞，（正义）张守节 , 中华书局 , 1982-11 , 125.00,9.5,15673,史家之绝唱，无韵之离骚
悲惨世界（上中下）,[法] 雨果 , 李丹 , 人民文学出版社 , 1992-6 , 66.00元,9.0,46958,现实主义与浪漫主义的至高杰作
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) , 范景中 , 广西美术出版社 , 2008-04 , 280.00,9.6,13520,从最早的洞窟绘画到当今的实验艺术
许三观卖血记,余华 ,无翻译者, 南海出版公司 , 1998-9 , 16.80元,8.8,181801,以博大的温情描绘磨难中的人生
哭泣的骆驼,三毛 ,无翻译者, 哈尔滨出版社 , 2003-6 , 15.80元,8.9,42852,沙漠中寻常的生与死
